"ADMIN","loss_area_cumulative"
"Brazil",31.52003222048
"Indonesia",19.82424649904
"Malaysia",6.14859730324
"Argentina",5.05430233632
"Paraguay",4.77117092308
"Bolivia",2.71363092036
"Cambodia",1.94761509616
"Vietnam",1.47370414696
"Myanmar",1.11672862132
"Laos",1.01811401552
"USA",0.8048073516
"Colombia",0.69993001728
"Thailand",0.6244033808
"Australia",0.61290613292
"Mexico",0.48101493976
"Peru",0.4715741102
"Philippines",0.35510605444
"DRC",0.3393090228
"Venezuela",0.229010222
"Madagascar",0.20218331028
"Guatemala",0.19049911528
"Ivory Coast",0.14479054444
"Canada",0.14366886172
"Chile",0.14142549628
"Liberia",0.11805710628
"Nigeria",0.10076449768
"Honduras",0.09151061524
"South Africa",0.07468537444
"China",0.07365716528
"Guinea",0.07356369172
"Belize",0.06290770588
"United Republic of Tanzania",0.06141212892
"Sierra Leone",0.05963613128
"Nicaragua",0.05786013364
"Cameroon",0.05711234516
"Kenya",0.05122351088
"Ghana",0.04234352268
"Zambia",0.04225004912
"Angola",0.03757637112
"Uganda",0.03673510908
"Dominican Republic",0.0247704934
"Brunei",0.02280754864
"Republic of the Congo",0.02252712796
"India",0.02084460388
"Sri Lanka",0.0182273442
"Cuba",0.01598397876
"Uruguay",0.01551661096
"Gabon",0.0149557696
"France",0.01486229604
"Suriname",0.0135536662
"Papua New Guinea",0.01317977196
"Mozambique",0.01299282484
"Panama",0.01271240416
"Fiji",0.011684195
"Algeria",0.01037556516
"Equatorial Guinea",0.01018861804
"Taiwan",0.00990819736
"Guyana",0.00916040888
"Ethiopia",0.00869304108
"New Zealand",0.0084126204
"Morocco",0.00729093768
"Guinea-Bissau",0.00663662276
"Bhutan",0.00626272852
"Burkina Faso",0.00579536072
"Ecuador",0.0056084136
"Chad",0.00551494004
"New Caledonia",0.00504757224
"Solomon Islands",0.00476715156
"Malawi",0.00392588952
"The Bahamas",0.00392588952
"Tunisia",0.00392588952
"Benin",0.0037389424
"Central African Republic",0.0037389424
"East Timor",0.00299115392
"Zimbabwe",0.002336839
"Burundi",0.00224336544
"Trinidad and Tobago",0.0018694712
"Nepal",0.00177599764
"Gambia",0.00158905052
"Costa Rica",0.00121515628
"Vanuatu",0.00112168272
"Botswana",0.0009347356
"Japan",0.00074778848
"eSwatini",0.00065431492
"Senegal",0.00056084136
"Mauritius",0.00037389424
"Rwanda",0.00037389424
"Afghanistan",0
"Aland",0
"Albania",0
"American Samoa",0
"Andorra",0
"Anguilla",0
"Antarctica",0
"Antigua and Barbuda",0
"Armenia",0
"Aruba",0
"Ashmore and Cartier Islands",0
"Austria",0
"Azerbaijan",0
"Bahrain",0
"Bangladesh",0
"Barbados",0
"Belarus",0
"Belgium",0
"Bermuda",0
"Bosnia and Herzegovina",0
"British Indian Ocean Territory",0
"British Virgin Islands",0
"Bulgaria",0
"Cabo Verde",0
"Cayman Islands",0
"Comoros",0
"Cook Islands",0
"Croatia",0
"Cura̤ao",0
"Cyprus",0
"Czechia",0
"Denmark",0
"Djibouti",0
"Dominica",0
"Egypt",0
"El Salvador",0
"Eritrea",0
"Estonia",0
"Falkland Islands",0
"Faroe Islands",0
"Federated States of Micronesia",0
"Finland",0
"French Polynesia",0
"French Southern and Antarctic Lands",0
"Georgia",0
"Germany",0
"Greece",0
"Greenland",0
"Grenada",0
"Guam",0
"Guernsey",0
"Haiti",0
"Heard Island and McDonald Islands",0
"Hong Kong S.A.R.",0
"Hungary",0
"Iceland",0
"Indian Ocean Territories",0
"Iran",0
"Iraq",0
"Ireland",0
"Isle of Man",0
"Israel",0
"Italy",0
"Jamaica",0
"Jersey",0
"Jordan",0
"Kazakhstan",0
"Kiribati",0
"Kosovo",0
"Kuwait",0
"Kyrgyzstan",0
"Latvia",0
"Lebanon",0
"Lesotho",0
"Libya",0
"Liechtenstein",0
"Lithuania",0
"Luxembourg",0
"Macao S.A.R",0
"Macedonia",0
"Maldives",0
"Mali",0
"Malta",0
"Marshall Islands",0
"Mauritania",0
"Moldova",0
"Monaco",0
"Mongolia",0
"Montenegro",0
"Montserrat",0
"Namibia",0
"Nauru",0
"Netherlands",0
"Niger",0
"Niue",0
"Norfolk Island",0
"North Korea",0
"Northern Cyprus",0
"Northern Mariana Islands",0
"Norway",0
"Oman",0
"Pakistan",0
"Palau",0
"Palestine",0
"Pitcairn Islands",0
"Poland",0
"Portugal",0
"Puerto Rico",0
"Qatar",0
"Republic of Serbia",0
"Romania",0
"Russia",0
"Ṣo Tom̩ and Principe",0
"Saint Barthelemy",0
"Saint Helena",0
"Saint Kitts and Nevis",0
"Saint Lucia",0
"Saint Martin",0
"Saint Pierre and Miquelon",0
"Saint Vincent and the Grenadines",0
"Samoa",0
"San Marino",0
"Saudi Arabia",0
"Seychelles",0
"Siachen Glacier",0
"Singapore",0
"Sint Maarten",0
"Slovakia",0
"Slovenia",0
"Somalia",0
"Somaliland",0
"South Georgia and the Islands",0
"South Korea",0
"South Sudan",0
"Spain",0
"Sudan",0
"Sweden",0
"Switzerland",0
"Syria",0
"Tajikistan",0
"Togo",0
"Tonga",0
"Turkey",0
"Turkmenistan",0
"Turks and Caicos Islands",0
"Ukraine",0
"United Arab Emirates",0
"United Kingdom",0
"United States Virgin Islands",0
"Uzbekistan",0
"Vatican",0
"Wallis and Futuna",0
"Western Sahara",0
"Yemen",0
